name,violations
BTP051 - Safina Plaza Junction,15449
BTP082 - KR Market Junction,11538
BTP040 - Elite Junction,10718
BTP044 - Sagar Theatre Junction,10549
BTP211 - Central Street Junction,5388
BTP058 - Subbanna Junction,5189
BTP027 - Modi Bridge Junction,4584
BTP020 - Hosahalli Metro Station,4101
BTP057 - Anand Rao Junction,3935
"BTP080 - NR Road, SP Road Junction",3681
BTP045 - Danvanthri Road Junction,3181
"BTP001 - 10th Cross, Dr. Rajkumar Road",2812
"BTP083 - AS Char Street, Mysore Road",2778
BTP032 - Windsor Circle,2749
"BTP016 - 5th Main Road, RPC Layout",2474
